Source,Prediction,Reference
""" Wow , "" I said enviously .",""" Wow , "" tôi nói rõ .",""" Chà , "" tôi ghanh tị ."
"Though of course, I cannot express it that way.","Dĩ nhiên, tôi không thể bày tỏ nó theo cách đó.","Nhưng đương nhiên, tôi không thể biểu lộ cảm xúc như vậy."
"Động thái này diễn ra vào thời điểm căng thẳng đang leo thang giữa chính quyền Trump và chính phủ Trung Quốc về một số vấn đề, bao gồm tranh chấp thương mại và xử lý vụ dịch  Covid-19 của Bắc Kinh.","The vaccine is announced by the US government's infrastructure, which allows Trump and China's threatened to a số lần, which was a threat on a số lần, which would cause a sự sụt giảm và sự sụt giảm của Covid-19 ở Bắc Kinh.","The move comes at a time of escalating tensions between the Trump administration and the Chinese government over a number of issues, including trade disputes and Beijing's handling of the Covid-19 outbreak."
And I remember stopping and thinking,Và tôi nhớ ngừng và suy nghĩ,Và tôi nhớ mình đã dừng và suy nghĩ
"And as the sun sets,","Và khi mặt trời nắm được,","Và khi mặt trời lặn,"
"They include Hugh Acheson, chef and owner of two restaurants in the state of Georgia.","Chúng bao gồm Hugh Acheson, chủ tịch và chủ sở hữu hai nhà hàng ở bang Georgia.","Họ bao gồm Hugh Acheson, đầu bếp và cũng là chủ 2 nhà hàng tại bang Georgia."
I hope it brings some form of comfort or closure to them.,Tôi hy vọng nó mang lại một sự thoải mái hoặc đóng cửa cho họ.,Tôi hy vọng phán quyết mang lại sự bình yên và là dấu chấm hết cho chuỗi ngày đau khổ của họ”.
"and more resources now than at any other point in history,","và nhiều nguồn lực hơn bất kỳ thời điểm nào khác trong lịch sử,","và nguồn lực hơn bất kỳ thời điểm nào trong lịch sử,"
"and so, for a long time, scientists felt that","và vì thế, trong một thời gian dài, các nhà khoa học cảm thấy rằng","và vì thế, trải qua thời gian dài, những nhà khoa học cảm thấy rằng"
Would you rather have a cup of coffee or a cup of tea?,Bạn có tách cà phê hay tách trà không?,Bạn thích uống cà-phê hay uống trà?
"FPT Retail, Vietnam’s second largest electronics retailer, plans to open 50 more Long Chau drug stores this year to take the total number to 70.","FPT Retail, nhà bán lẻ điện tử lớn thứ hai của Việt Nam, dự định mở thêm 50 cửa hàng thuốc Long Châu trong năm nay để tổng số lên 70.","Công ty bán lẻ điện tử FPT, nhà bán lẻ điện tử lớn thứ hai Việt Nam, có kế hoạch mở thêm 50 cửa hàng thuốc Long Châu trong năm nay để nâng tổng số lên 70 cửa hàng."
The data showed that those children who were going to bed at different times,Dữ liệu cho thấy những đứa trẻ sẽ đi ngủ ở những lúc khác nhau,Số liệu chỉ ra những trẻ có giờ giấc ngủ thất thường
Rescue equipment is being rushed to the high altitude area .,Thiết bị cứu hộ đang được đẩy lên khu vực cao .,Thiết bị cứu hộ đang được gấp rút đưa khu vực cao độ .
I happened to be there,Tôi từng ở đó,Tôi đã tình cờ đến đó
you're more likely to mistake a cell phone for a handgun,bạn có thể sai điện thoại di động để bắn tay,bạn sẽ dễ nhìn nhầm chiếc điện thoại thành khẩu súng ngắn hơn
"The owners , the Glazer family , removed the Old Trafford club from the London stock market following their successful takeover in 2005 .","Các chủ sở hữu , gia đình Glazer , đã loại bỏ câu lạc bộ Old Trafford khỏi thị trường chứng khoán Luân Đôn sau khi họ từ chức vào năm 2005 .","Glazer , những ông chủ của câu lạc bộ , đã rút đội chủ sân Old Trafford ra khỏi thị trường chứng khoán Luân Đôn sau thương vụ mua đứt thành công năm 2005 ."
I want to discuss one reason today:,Tôi muốn thảo luận một lý do ngày nay:,hôm nay tôi sẽ đề cập đến một nguyên nhân:
- 99° F ( 37.2° C ) measured in an axillary position ( under the arm ),- 99° F ( 37.2° C ) đo ở vị trí xương ( dưới cánh tay ),- 99° F ( 37.2° C ) đo ở vùng dưới nách ( dưới cánh tay )
"During a Wednesday appearance near Washington , Mr. Obama said the U.S. was ready to help its "" friends "" in neighboring Samoa and throughout the region .","Trong một cuộc xuất hiện vào thứ Tư gần Washington , ông Obama nói Hoa Kỳ sẵn sàng giúp "" bạn bè "" của mình ở Samoa lân cận và khắp khu vực này .","Trong lần xuất hiện gần Washington hôm thứ tư , ông Obama đã nói Hoa Kỳ sẵn sàng giúp đỡ "" bạn bè "" láng giềng của Samoa và khắp khu vực này ."
They are passed on to dividing cells .,Chúng được chuyển đến chia các tế bào .,Chúng được truyền lại bởi các tế bào phân chia .
"Last year alone, Japan, the Philippines and Germany were the most affected countries followed by Madagascar, India and Sri Lanka, with Japan and Germany hit hardest by heat waves and drought.","Chỉ riêng năm ngoái, Nhật Bản, Philippines và Đức là những quốc gia bị ảnh hưởng nhiều nhất sau đó là Madagascar, Ấn Độ và Sri Lanka, với Nhật Bản và Đức đã tấn công nặng nề nhất bởi những cơn sóng nhiệt và sự tàn phá.","Chỉ trong năm ngoái, Nhật Bản, Philippines và Đức là những nước bị ảnh hưởng nhất, theo sau là Madagascar, Ấn Độ và Sri Lanka, với Nhật Bản và Đức bị tấn công nặng nề nhất bởi các đợt sóng nhiệt và hạn hán."
"Well, yes, because in this context,","Vâng, vâng, vì trong bối cảnh này,","Ồ, đúng vậy, vì trong bối cảnh này,"
"so that thin membrane, the blood-gas barrier,","để màng mỏng, rào cản máu,","vậy lớp màng mỏng, tức hàng rào khí máu,"
""" What are you going to do ? "" he whispered hoarsely .",""" Bạn sẽ làm gì ? "" ông thì thầm .",""" Bà tính làm gì ? "" ông thì thầm bằng giọng khản đục ."
and now as a small food business owner,và giờ là chủ doanh nghiệp thực phẩm nhỏ,"và hiện là chủ sở hữu một công ty bán thực phẩm,"
I'm not free.,Tôi không được tự do.,Tôi không rảnh.
I'd love to find out why she said so.,Tôi sẽ tìm ra lý do tại sao cô ấy nói như vậy.,Tôi rất muốn tìm hiểu lý do tại sao cô ấy nói vậy
"But major retailers in Hanoi and HCMC said they have enough supply of masks and would continue to sell them at normal prices of around VND65,000 ($2.8).","Nhưng các nhà bán lẻ lớn ở Hà Nội và TP HCM cho biết họ có đủ khẩu trang và sẽ tiếp tục bán chúng với giá bình thường khoảng 65.000 đồng (2,8 USD).","Nhưng các nhà bán lẻ lớn ở Hà Nội và TP HCM cho biết họ có đủ nguồn cung cấp khẩu trang và sẽ tiếp tục bán chúng với giá bình thường khoảng 65.000 đồng (2,8 USD)."
"While knocking on doors for an environmental group, I found myself literally covered in greenhead flies, all of them biting me.","Trong khi đóng cửa cho một nhóm môi trường, tôi thấy mình đã bị bỏ trong ruồi xanh, tất cả chúng đều đánh tôi.","Khi đến xin việc trong một nhóm hoạt động môi trường, tôi phát hiện cả người mình bị lũ ruồi đầu xanh này bâu đặc, và chúng cắn tôi."
"The psychologist Dan McAdams calls this a ""redemptive story,""","Nhà tâm lý học Dan Mc Adams gọi đó là ""chuyện rất tốt"",","Nhà tâm lý học Dan McAdams gọi đây là một ""câu chuyện để cứu vãn""."
"During this time, in order to meet the people’s reading demand during the social distancing period, the General Science Library has introduced a free online bookstore that can be accessed at thuviendientu.thuvien.danang.gov.vn (user: tvkhthfree, password: tvkhth43).","Trong thời gian này, để đáp ứng nhu cầu đọc sách của mọi người trong thời kỳ giãn cách xã hội, Tổng thư viện Khoa học Đại học đã giới thiệu một cửa hàng trực tuyến miễn phí có thể được truy cập tại Thuviendientu.thuvien.danang.gov.vn (mật dụng: TVkhthfree, mật khẩu: TVkhth43).","Trong thời gian này, để đáp ứng nhu cầu đọc sách của người dân trong thời kỳ xã hội xa cách, Thư viện Khoa học Tổng hợp đã giới thiệu kho sách trực tuyến miễn phí tại địa chỉ thuviendientu.thuvien.danang.gov.vn (user: tvkhthfree, password: tvkhth43"
he looked into my eyes.,anh ấy nhìn vào mắt tôi.,anh ấy đã nhìn vào mắt tôi.
"No one valuation method is perfect for every situation , but by knowing the characteristics of the company , you can select a valuation method that best suits the situation .","Không có phương pháp định giá nào hoàn hảo cho mọi tình huống , nhưng bằng cách biết các đặc điểm của công ty , bạn có thể chọn phương pháp định giá tốt nhất với tình huống .","Không có một phương pháp định giá nào hoàn hảo với mọi tình huống , nhưng nếu bạn biết được các đặc điểm của công ty thì có thể lựa chọn một phương pháp định giá thích hợp nhất với trường hợp đó ."
"And when you do, do it in a way that increases your chances","Và khi bạn làm, hãy làm theo cách tăng cơ hội","Và khi làm, hãy làm nó theo cách giúp tăng cơ hội"
I believe in that future and I want to contribute,Tôi tin vào tương lai đó và muốn góp phần,Tôi tin vào tương lai và tôi muốn cống hiến
And changes are difficult to swallow by people.,Và những thay đổi khó nuốt bởi mọi người.,và con người khó chấp nhận được những sự đổi thay.
"The country scored 76 points out of 100 on the Retirement Index compiled by International Living, an Irish publishing company that focuses on retiring overseas.","Đất nước này đạt 76 điểm trong số 100 trên Chỉ số Thư tự do được tổng hợp bởi International Living, một công ty xuất bản Irish tập trung vào việc nghỉ hưu nước ngoài.","Quốc gia đạt 76 trên 100 điểm trên Chỉ số Hưu trí được thực hiện bởi International Living, một ấn phẩm của Ireland chuyên về nghỉ hưu ở nước ngoài."
